Data;Hora;Moeda;Quantidade;Tipo
2023-02-15;13:05:51;BUSD;0,0;Entrada_Externa
2023-03-06;00:31:30;BUSD;6238,230475;Entrada_Externa
2023-03-06;00:37:14;BUSD;0,006238;Entrada_Externa
2023-03-09;11:44:06;BUSD;1994,8575;Entrada_Externa
2023-03-09;11:52:05;BUSD;0,001994;Entrada_Externa
2023-03-11;08:36:35;USDC;6500,0;Entrada_Externa
2023-03-11;09:38:40;BUSD;1951,6026804;Entrada_Externa
2023-03-11;10:27:44;BUSD;937,856205;Entrada_Externa
2023-03-11;15:06:16;ADA;18447,000915;Saida_Externa
2023-03-13;03:07:22;BUSD;0,001994;Entrada_Externa
2023-03-17;20:58:16;BTC;0,0173;Entrada_Externa
2023-03-17;20:58:46;ETH;0,48;Entrada_Externa
2023-03-19;16:32:01;BUSD;0,001951;Entrada_Externa
2023-03-20;11:09:23;ETH;0,5;Entrada_Externa
2023-03-22;20:48:08;ETH;0,50811583;Saida_Externa
2023-04-05;16:22:44;DOGE;20015,19926208;Entrada_Externa
2023-04-07;13:56:12;ETH;0,67;Entrada_Externa
2023-05-05;09:24:38;BTC;0,10917083;Saida_Externa
2023-06-22;12:39:07;BTC;0,1936;Saida_Externa
2023-06-23;14:10:18;BTC;0,06579326;Entrada_Externa
2023-06-26;18:43:27;BTC;0,0944;Saida_Externa
2023-06-28;09:27:10;BTC;0,50000242;Saida_Externa
2023-07-15;11:39:56;BTC;0,03226631;Saida_Externa
2023-07-19;10:45:46;BTC;0,5;Saida_Externa
2023-07-20;21:51:50;XRP;5055,39404;Saida_Externa
2023-08-16;22:44:23;BTC;0,139847;Saida_Externa
2023-08-18;13:07:17;BTC;0,15906809;Saida_Externa
2023-08-28;15:18:46;BUSD;5133,240585;Entrada_Externa
2023-08-28;15:24:30;BUSD;0,005133;Entrada_Externa
2023-08-28;15:26:00;ETH;0,44;Entrada_Externa
2023-09-01;12:01:15;ETH;0,16335472;Entrada_Externa
2023-09-02;13:13:08;BUSD;394,28262;Entrada_Externa
2023-09-02;13:17:23;USDT;1023,6423;Entrada_Externa
2023-09-02;13:18:47;BUSD;0,000394;Entrada_Externa
2023-09-02;13:20:52;BUSD;3,942e-05;Entrada_Externa
2023-09-02;13:23:24;USDT;0,001023;Entrada_Externa
2023-09-02;13:25:29;USDT;0,00010236;Entrada_Externa
2023-09-02;13:37:54;ETH;5,0;Entrada_Externa
2023-09-08;17:22:52;ETH;5,0;Entrada_Externa
2023-09-13;16:42:13;ETH;10,0;Entrada_Externa
2023-09-26;20:06:51;BTC;0,1002876;Entrada_Externa
2023-09-30;12:43:58;USDT;1575,201433;Saida_Externa
2023-10-15;14:28:20;BTC;0,05834357;Saida_Externa
2023-12-20;10:11:57;USDT;1239,319899;Saida_Externa
2024-02-07;16:14:57;USDT;4386,0;Entrada_Externa
2024-02-29;17:00:53;USDC;2561,349876;Entrada_Externa
2024-03-07;14:58:56;USDC;1442,761042;Entrada_Externa
2024-03-08;16:00:50;USDT;1401,33384776;Entrada_Externa
2024-03-08;16:07:58;USDC;1453,679985;Entrada_Externa
2024-04-13;23:28:41;USDT;1097,97629659;Entrada_Externa
2024-04-14;13:03:26;SOL;8,0;Entrada_Externa
2024-05-02;10:30:52;USDT;6228,67;Entrada_Externa
2024-05-31;11:50:45;USDT;3424,67750664;Entrada_Externa
2024-08-03;11:43:34;USDT;12885,81352033;Entrada_Externa
2024-09-15;08:30:02;USDT;11200,59774148;Entrada_Externa
2024-09-25;11:31:47;USDT;873,48373391;Entrada_Externa
2024-11-05;13:09:56;USDT;2445,06094;Entrada_Externa
2024-12-14;13:20:00;USDT;8690,0;Entrada_Externa
2024-12-20;12:04:15;USDT;10520,99;Entrada_Externa
2024-12-30;21:09:36;USDT;4772,68;Entrada_Externa
2025-02-05;13:02:28;USDT;4105,0;Entrada_Externa
2025-02-07;15:17:24;USDT;1624,2;Entrada_Externa
2025-02-10;16:32:38;AVAX;1,0;Entrada_Externa
2025-02-10;18:49:11;AVAX;249,297;Entrada_Externa
2025-02-14;00:03:44;USDT;10535,012282;Entrada_Externa
2025-02-18;17:33:44;USDT;6511,0732725;Entrada_Externa
2025-02-18;23:25:28;USDT;10000,0;Entrada_Externa
2025-04-01;19:38:06;USDT;8700,0;Saida_Externa
2025-04-06;12:46:11;AVAX;250,297;Saida_Externa
2025-05-30;12:58:08;USDT;2154,48607178;Entrada_Externa
2025-08-02;08:16:37;USDT;2715,86737;Entrada_Externa
2025-08-07;11:12:56;USDT;9405,0001;Entrada_Externa
2025-08-07;11:34:03;BNB;1e-07;Entrada_Externa
2025-08-07;11:34:05;BNB;1e-07;Entrada_Externa
2025-08-07;11:34:08;BNB;1e-07;Entrada_Externa
2025-08-09;20:27:27;USDT;2160,0;Entrada_Externa
2025-08-10;19:27:46;USDT;40,643206;Entrada_Externa
2025-08-13;12:10:54;USDT;965,348396;Entrada_Externa
2025-08-19;16:17:14;USDT;5000,0;Entrada_Externa
2025-08-22;12:45:44;USDC;43,149822;Entrada_Externa
2025-08-22;12:54:38;USDC;3000,0;Entrada_Externa
2025-08-22;17:48:06;USDT;2148,0;Entrada_Externa
2025-09-08;11:34:29;USDT;806,73;Entrada_Externa
2025-09-12;12:49:14;USDT;2200,60247263;Entrada_Externa
2025-09-13;10:28:28;USDT;800,0;Entrada_Externa
2025-09-19;00:44:30;USDT;771,52;Entrada_Externa
2025-09-19;21:03:21;USDT;1702,2;Entrada_Externa
2025-09-20;23:50:08;USDT;234,9;Entrada_Externa
2025-09-24;20:12:10;USDT;1309,39;Entrada_Externa
2025-09-24;20:18:37;USDT;2601,65;Entrada_Externa
2025-10-01;15:06:36;USDT;2772,66;Entrada_Externa
2025-10-06;17:40:51;USDT;332,17;Entrada_Externa
2025-10-17;09:27:49;USDC;25001,5;Entrada_Externa
2025-10-17;11:19:09;USDT;3035,95889899;Entrada_Externa
2025-10-23;14:47:32;USDT;2030,31708453;Entrada_Externa
2025-10-31;10:42:31;USDT;933,0;Entrada_Externa
2025-11-04;13:56:06;USDT;3801,33376413;Entrada_Externa
2025-11-08;20:41:09;USDT;4681,0;Entrada_Externa
2025-11-12;14:44:13;USDT;555,0;Entrada_Externa
2025-11-20;09:30:18;USDT;1001,0;Entrada_Externa
2025-12-19;13:51:44;USDT;1460,0;Entrada_Externa
