Data;Saiu;Entrou;Custo_Herdado
2024-03-08 20:54:37;USDC;EURX;1453,0500000002646
2024-04-13 23:32:59;USDT;EURX;1099,4099994086732
2024-04-14 13:04:07;SOL;EURX;1123,91
2024-05-02 10:32:52;USDT;EURX;6226,930000004757
2024-05-31 11:53:08;USDT;EURX;3422,27999936171
2024-08-03 12:05:34;USDT;EURX;12872,699999671491
2024-09-15 08:32:33;USDT;EURX;11202,859999515062
2024-09-25 11:32:27;USDT;EURX;873,4499990911057
2024-11-05 13:16:00;USDT;EURX;2443,9900000021403
2024-12-14 13:23:51;USDT;EURX;8690,079999997602
2024-12-20 12:11:20;USDT;EURX;10507,040000007157
2024-12-30 21:11:10;USDT;EURX;4766,1900000001815
2025-02-05 13:03:56;USDT;EURX;4106,209999991132
2025-02-07 15:18:11;USDT;EURX;1625,0699999987087
2025-02-14 12:19:25;USDT;EURX;5535,473428110287
2025-02-14 15:14:48;USDT;EURX;5000,416571892137
2025-02-18 22:55:56;USDT;EURX;6509,709999501673
2025-04-07 11:16:16;USDT;EURX;1299,6971000000005
2025-05-30 12:59:44;USDT;EURX;2154,809999217636
2025-08-02 07:55:21;EURX;NEXO;0,0012259909867680108
2025-08-02 09:57:25;USDT;EURX;2715,0300000030456
2025-08-07 11:16:23;USDT;USDC;5000,738915459609
2025-08-07 11:17:19;USDT;USDC;10,001477830925275
2025-08-07 11:17:40;USDT;EURX;4395,649606706437
2025-08-09 21:08:06;USDT;EURX;2160,339999999936
2025-08-10 19:29:59;USDT;USDC;40,64999999993551
2025-08-10 22:43:55;USDC;EURX;41,000318258218215
2025-08-13 12:13:49;USDT;USDC;965,1600000024057
2025-08-13 12:14:59;USDC;EURX;965,7264133013817
2025-08-19 16:26:07;USDT;USDC;5002,179999995809
2025-08-20 18:43:52;USDC;EURX;4999,82581327593
2025-08-22 17:50:19;USDT;USDC;2148,110000002555
2025-09-08 11:44:36;USDT;USDC;806,9199999987762
2025-09-11 11:20:53;USDC;EURX;6007,078099629161
2025-09-12 12:54:55;USDT;USDC;2200,8999993705806
2025-09-13 10:31:11;USDT;USDC;800,1099999999835
2025-09-18 09:50:43;USDC;EURX;3000,560407703905
2025-09-19 00:54:44;USDT;USDC;771,6899999993977
2025-09-19 12:44:34;USDC;EURX;776,7174341693565
2025-09-19 21:10:52;USDT;USDC;1702,4900000003636
2025-09-19 21:11:54;USDC;EURX;1703,3109107814298
2025-09-20 23:57:03;USDT;EURX;234,96999999907206
2025-09-24 20:19:22;USDT;EURX;3911,630000001077
2025-10-01 15:14:56;USDT;USDC;2772,8700000005388
2025-10-06 17:42:10;USDT;USDC;332,26999999836204
2025-10-06 17:46:38;USDC;EURX;3105,8129964918426
2025-10-12 13:37:42;USDC;EURX;2998,8018884370076
2025-10-17 11:20:15;USDT;USDC;3035,999999012077
2025-10-23 14:51:01;USDT;USDC;2031,4399994652501
2025-10-31 10:54:35;USDT;USDC;932,9400000054271
2025-10-31 10:55:48;USDC;EURX;2999,79129995528
2025-11-04 14:02:13;USDT;EURX;3799,8299998729635
2025-11-08 20:45:50;USDT;USDC;4680,369999997671
2025-11-12 15:17:14;USDT;USDC;554,8800000007282
2025-11-17 12:42:13;USDC;EURX;5233,922541447514
2025-11-20 10:43:14;USDT;USDC;1000,1600000055566
2025-12-05 19:35:07;USDC;EURX;999,9852008879468
2025-12-16 22:19:42;BNB;NEXO;0,0
2025-12-16 22:19:42;EURX;NEXO;0,008658142236085964
2025-12-19 13:53:06;USDT;EURX;1459,109999997952
2025-12-19 13:54:04;USDC;EURX;159,9976321420715
