Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT3sb7UsXtzjEok47nk0UNB,Interest,NEXO,0.22221129,NEXO,0.22221129,$0.44,-,-,"approved / 0.49325667 XRP",2021-06-13 23:00:03
NXT6oFGwOwyeyLGMQVWa8Gv19,Interest,NEXO,0.48329877,NEXO,0.48329877,$0.90,-,-,"approved / 0.04109589 LINK",2021-06-12 23:00:03
NXT6L5jBFQF1XSppBAqQz2cd1,Interest,NEXO,0.79977659,NEXO,0.79977659,$1.49,-,-,"approved / 0.00004171 BTC",2021-06-12 23:00:03
NXT5kaQVbqaKzjck0mBWWu28k,Interest,NEXO,2.73295500,NEXO,2.73295500,$5.10,-,-,"approved / 0.00213698 ETH",2021-06-12 23:00:03
NXT2j8ggSgpzxfNNiEwfX8lie,Interest,NEXO,0.22150618,NEXO,0.22150618,$0.41,-,-,"approved / 0.49325667 XRP",2021-06-12 23:00:03
NXTTIeUEvGSW5PsqZU33JGCF,Interest,NEXO,0.05381214,NEXO,0.05381214,$0.10,-,-,"approved / NEXO Interest Earned",2021-06-12 23:00:03
NXTQqb0xlKlvXqJTrBGoXLYI,Interest,NEXO,1.47042389,NEXO,1.47042389,$2.74,-,-,"approved / 2.73972602 USDC",2021-06-12 23:00:03
NXT75LzdgWLSHoJFSc1gQ2wur,Interest,NEXO,0.45149941,NEXO,0.45149941,$0.88,-,-,"approved / 0.04109589 LINK",2021-06-11 23:00:02
NXT6PwyWkpThoke4cG6lYSwv5,Interest,NEXO,0.21542487,NEXO,0.21542487,$0.42,-,-,"approved / 0.49325667 XRP",2021-06-11 23:00:02
NXT2zVdwAwmNy1h3JbqGJt6Ot,Interest,NEXO,0.80075477,NEXO,0.80075477,$1.56,-,-,"approved / 0.00004171 BTC",2021-06-11 23:00:02
NXT2AgukVN2wYdRhovIFpKtTK,Interest,NEXO,0.05278845,NEXO,0.05278845,$0.10,-,-,"approved / NEXO Interest Earned",2021-06-11 23:00:02
NXT2AFoTIp9b5W2FA7YGPGhjB,Interest,NEXO,1.40728809,NEXO,1.40728809,$2.74,-,-,"approved / 2.73972602 USDC",2021-06-11 23:00:02
NXT1ZfJ2Jtkse1h7ldHYeL3Pk,Interest,NEXO,2.59427899,NEXO,2.59427899,$5.05,-,-,"approved / 0.00213698 ETH",2021-06-11 23:00:02
NXT6daDaRRT8CNhNJ0znDqVdd,Fixed Term Interest,NEXO,20.69514378,NEXO,20.69514378,$42.29,-,-,"approved / Term Deposit Interest",2021-06-11 02:00:01
NXT6a0QIHeO45BnAZJGF55D17,Fixed Term Interest,NEXO,8.56958745,NEXO,8.56958745,$17.51,-,-,"approved / Term Deposit Interest",2021-06-11 02:00:01
NXT5RBKSMm8pl7Q9WNc0OLMEE,Unlocking Term Deposit,BTC,0.25379563,BTC,0.25379563,$9180.68,-,-,"approved / Transfer from Term Wallet to Savings Wallet",2021-06-11 02:00:01
NXT4BTa0VsrTmoe3oJIfHuwKc,Unlocking Term Deposit,ETH,13.00000000,ETH,13.00000000,$31441.64,-,-,"approved / Transfer from Term Wallet to Savings Wallet",2021-06-11 02:00:01
NXT1esvDAqB80S61moSkVNLDz,Unlocking Term Deposit,LINK,250.00000000,LINK,250.00000000,$5627.35,-,-,"approved / Transfer from Term Wallet to Savings Wallet",2021-06-11 02:00:01
NXT1XrD7mqr210o2VYNTm77RC,Fixed Term Interest,NEXO,98.81030025,NEXO,98.81030025,$201.90,-,-,"approved / Term Deposit Interest",2021-06-11 02:00:01
NXT1Hfuf8LI0xOv2ZXqMH240r,Fixed Term Interest,NEXO,27.21002023,NEXO,27.21002023,$55.60,-,-,"approved / Term Deposit Interest",2021-06-11 02:00:01
NXT4kTugo9ANXNDVXuf4g0MX,Unlocking Term Deposit,XRP,3000.64479300,XRP,3000.64479300,$2552.70,-,-,"approved / Transfer from Term Wallet to Savings Wallet",2021-06-11 02:00:01
NXT4ohmP8LRLoG4eYchB6aYWa,Interest,NEXO,0.02375010,NEXO,0.02375010,$0.05,-,-,"approved / NEXO Interest Earned",2021-06-10 23:00:02
NXT1YMD1wFy3psV0afV3SyTXB,Interest,NEXO,1.33073634,NEXO,1.33073634,$2.74,-,-,"approved / 2.73972602 USDC",2021-06-10 23:00:02
NXT7hiF3lLV2CYzGGitXr9Z9S,Interest,NEXO,1.25890229,NEXO,1.25890229,$2.74,-,-,"approved / 2.73972602 USDC",2021-06-09 23:00:02
NXT12KRelQ1v8CD8ToOgjckDI,Interest,NEXO,0.02351236,NEXO,0.02351236,$0.05,-,-,"approved / NEXO Interest Earned",2021-06-09 23:00:02
NXT3DkIGpX8IPAL6C708AEWx2,Interest,NEXO,0.02325056,NEXO,0.02325056,$0.05,-,-,"approved / NEXO Interest Earned",2021-06-08 23:00:02
NXT7d5GKeAXtqgnRHPx1iBYd,Interest,NEXO,1.38894013,NEXO,1.38894013,$2.74,-,-,"approved / 2.73972602 USDC",2021-06-08 23:00:02
NXT5eAGgXNYpAzlVT3uoUnVsK,Interest,NEXO,1.25905344,NEXO,1.25905344,$2.74,-,-,"approved / 2.73972602 USDC",2021-06-07 23:00:02
NXT57L5ty9juKMZtRZIbJhFC1,Interest,NEXO,1.23586328,NEXO,1.23586328,$2.74,-,-,"approved / 2.73972602 USDC",2021-06-06 23:00:03
NXTmTeXNTCELRB23jxx6J7Mv,Interest,NEXO,1.33539194,NEXO,1.33539194,$2.74,-,-,"approved / 2.73972602 USDC",2021-06-05 23:00:03
NXT1xoluWdT6MmHvNAHjCsRSS,Interest,NEXO,1.25657512,NEXO,1.25657512,$2.74,-,-,"approved / 2.73972602 USDC",2021-06-04 23:00:02
NXT2wxS4GgY738Lquz1pY0gI4,Interest,NEXO,1.20726997,NEXO,1.20726997,$2.74,-,-,"approved / 2.73972602 USDC",2021-06-03 23:00:03
NXT27FruKHZGYId6emCe2samj,Interest,NEXO,1.30735035,NEXO,1.30735035,$2.74,-,-,"approved / 2.73972602 USDC",2021-06-02 23:00:03
NXT7JT2en3YqCIymiUkZ5wDou,Interest,NEXO,1.39816295,NEXO,1.39816295,$2.74,-,-,"approved / 2.73972602 USDC",2021-06-01 23:00:03
NXT6mWRH4eZaNS8oTdQ0gNlpk,Interest,NEXO,1.40214618,NEXO,1.40214618,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-31 23:00:03
NXT50EK2T0Av0rwqcimr2efOc,Interest,NEXO,1.36948356,NEXO,1.36948356,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-30 23:00:03
NXT7Sa0DJSg24q73bjrRZQMJC,Interest,NEXO,1.52439291,NEXO,1.52439291,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-29 23:00:02
NXT2OHdkRbtAZdc5UbAIBg5xF,Interest,NEXO,1.48347396,NEXO,1.48347396,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-28 23:00:03
NXT25RCdKbMDCxGwQ5gPl7DJG,Interest,NEXO,1.20811010,NEXO,1.20811010,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-27 23:00:03
NXTKdADbSscSrTs4BINNqyz0,Locking Term Deposit,EURX,-5000.00000000,EURX,5000.00000000,$6097.75,-,-,"approved / Transfer from Savings Wallet to Term Wallet",2021-05-27 12:07:24
NXT41x8HHxr66RM6X5LxTqvt5,Exchange Deposited On,EUR,-3900.00000000,EURX,3900.00000000,$4759.95,-,-,"approved / EUR to EURX",2021-05-27 10:49:00
NXT2nrlb8ZAAbfDEjuFmDE5dI,Deposit To Exchange,EUR,3900.00000000,EURX,3900.00000000,$4759.95,-,-,"approved / EUR Top Up",2021-05-27 10:48:54
NXT51reqMnf0ITVa3GrJGh5C0,Interest,NEXO,0.09128375,NEXO,0.09128375,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-26 23:00:03
NXT3lvd0P82b3KvcsitEj2yXj,Interest,NEXO,1.13449819,NEXO,1.13449819,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-26 23:00:03
NXT5JzdFbddOOHgyxABa4hLRG,Interest,NEXO,0.11126225,NEXO,0.11126225,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-25 23:00:03
NXT4PZAaqc5LhfQWkT8YNPdEQ,Interest,NEXO,1.37621995,NEXO,1.37621995,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-25 23:00:03
NXT5Qi4cZzt9Jx29QCO1yrXvG,Interest,NEXO,1.34933913,NEXO,1.34933913,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-24 23:00:03
NXTCK3D9pMg3YKU8lMbnPGTE,Interest,NEXO,0.10877700,NEXO,0.10877700,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-24 23:00:03
NXT6Hvic8HhgHGsLyV0Vd0Rkf,Interest,NEXO,2.01646259,NEXO,2.01646259,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-23 23:00:03
NXT3drjSD4p1h5GXQmYoEE3IQ,Interest,NEXO,0.16203605,NEXO,0.16203605,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-23 23:00:03
NXT4ZmJqwa5ji6KEQXweQTXw5,Interest,NEXO,0.11696984,NEXO,0.11696984,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-22 23:00:02
NXT2vD1SoBXlOHAwiQbyeWJfL,Interest,NEXO,1.45592351,NEXO,1.45592351,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-22 23:00:02
NXT6rYumguPeRAF51nmvcbFfC,Interest,NEXO,1.39037165,NEXO,1.39037165,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-21 23:00:03
NXT5W9j5JFd0ZxMdnnz9EdFJ4,Interest,NEXO,0.11167058,NEXO,0.11167058,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-21 23:00:03
NXT37Yl3sXae92sBZYCraGoX6,Interest,NEXO,0.08784332,NEXO,0.08784332,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-20 23:00:02
NXTvUV6Dyd3VtGN6VWFnqsyN,Interest,NEXO,1.08845930,NEXO,1.08845930,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-20 23:00:02
NXT6hkUQT94qGpndUYeFFCuPy,Interest,NEXO,1.16915255,NEXO,1.16915255,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-19 23:00:02
