Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT2sU40sbNdQEioUMi9f2TxI,Interest,USDC,5.75785200,USDC,5.75785200,$5.76,-,-,"approved / USDC Interest Earned",2025-12-24 06:00:00
NXT1SsVXBp8WPXrVaaHsjY103,Interest,NEXO,0.05659181,NEXO,0.05659181,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-24 06:00:00
NXT79L4aGJ9SSJ1IKihiGL1Rw,Interest,NEXO,0.05658723,NEXO,0.05658723,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-23 06:00:00
NXT1KADozUCEM0HempbfnTvTk,Interest,USDC,5.75674800,USDC,5.75674800,$5.76,-,-,"approved / USDC Interest Earned",2025-12-23 06:00:00
NXT6UTceb3zfE4ZrDDzidy5z7,Interest,NEXO,0.05658265,NEXO,0.05658265,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-22 06:00:00
NXT4KbriGFGvGo9ugP661udU9,Interest,USDC,5.75564500,USDC,5.75564500,$5.75,-,-,"approved / USDC Interest Earned",2025-12-22 06:00:00
NXT2PruLmCXM4NeVA4YvY8NEx,Interest,NEXO,0.05657807,NEXO,0.05657807,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-21 06:00:00
NXTTcGPbLlkjP3tfYO6SyNKT,Interest,USDC,5.75454100,USDC,5.75454100,$5.75,-,-,"approved / USDC Interest Earned",2025-12-21 06:00:00
NXT4I2xvJgMhsSrXmPNFlqbrJ,Interest,USDC,5.75343800,USDC,5.75343800,$5.75,-,-,"approved / USDC Interest Earned",2025-12-20 06:00:00
NXT1tSGfQwPddTKabEZrwoyJ2,Interest,NEXO,0.05657349,NEXO,0.05657349,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-20 06:00:00
NXT6FSliJ9liKPKPbTtjYvY2y,Withdraw Exchanged,EUR,-1362.26000000,EUR,1362.26000000,$1596.10,-,-,"approved / EUR withdrawal",2025-12-19 13:57:37
NXT5xYJhDLwU0Bve2wUAglBG1,Exchange To Withdraw,EURX,1367.26000000,EUR,1362.26000000,$1601.79,5.00000000,EURX,"approved / EURX to EUR",2025-12-19 13:56:32
NXTuQ79Ol54oJkEdmyaGMfDY,Exchange Cashback,EURX,0.13341719,EURX,0.13341719,$0.16,-,-,"approved / 0.1 % on top of your Exchange transaction",2025-12-19 13:54:04
NXT1ltgxI2jhJnRCvZ7oxgBtp,Exchange,USDC,-160.00000000,EURX,133.41719144,$156.33,1.99019500,USDC,"approved / Exchange USD Coin to EURX",2025-12-19 13:54:04
NXT30IVtg0vZUzi5Hv6MxRgQG,Exchange Cashback,EURX,1.23248277,EURX,1.23248277,$1.44,-,-,"approved / 0.1 % on top of your Exchange transaction",2025-12-19 13:53:06
NXT5QXiRK6KJkgfT5zjiKC6TW,Exchange,USDT,-1460.00000000,EURX,1232.48276880,$1444.01,-,-,"approved / Exchange Tether to EURX",2025-12-19 13:53:06
NXTdYofaEiHUPpLWgezOjdOn,Top up Crypto,USDT,1460.00000000,USDT,1460.00000000,$1459.11,-,-,"approved / 0x390aa9849cddbec647f49eec10eb6b427f624f641f02da353e670a67e5132fcd",2025-12-19 13:51:44
NXT45tXnqXzFGf8JTleOozIaC,Interest,USDC,5.78301300,USDC,5.78301300,$5.78,-,-,"approved / USDC Interest Earned",2025-12-19 06:00:00
NXT2nKzJ0gGLkWASgF1o2DO0e,Interest,NEXO,0.05656890,NEXO,0.05656890,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-19 06:00:00
NXT55kW11urbpTEO9s7yCLYyI,Interest,NEXO,0.05656432,NEXO,0.05656432,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-18 06:00:00
NXT2mgOnioOXu2oSY2t6iDYei,Interest,USDC,5.78190400,USDC,5.78190400,$5.78,-,-,"approved / USDC Interest Earned",2025-12-18 06:00:00
NXT6Nko9tUt5qhHt3cDb8wwXK,Interest,NEXO,0.05655974,NEXO,0.05655974,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-17 06:00:00
NXT2NqLrow6IicEKAW9qWaXxq,Interest,USDC,5.78079600,USDC,5.78079600,$5.78,-,-,"approved / USDC Interest Earned",2025-12-17 06:00:00
NXT4xeRJrnglEh02E6cDl7OSV,Exchange,BNB,-0.00000030,NEXO,0.00028099,$0.00,-,-,"approved / Convert Small Balances / Exchange BNB to NEXO Token",2025-12-16 22:19:42
NXTtIw05HEKYY416IAhSWaaq,Exchange,EURX,-0.00742608,NEXO,0.00937013,$0.01,-,-,"approved / Convert Small Balances / Exchange EURX to NEXO Token",2025-12-16 22:19:42
NXT1XzykYwDwBEU2blgf98O2a,Interest,USDC,5.77968700,USDC,5.77968700,$5.78,-,-,"approved / USDC Interest Earned",2025-12-16 06:00:00
NXTaDl3dnhRfJkTHupvfUZQZ,Interest,NEXO,0.05655438,NEXO,0.05655438,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-16 06:00:00
NXT6aXPgYtVhbmlifYpTFFPv7,Interest,NEXO,0.05654980,NEXO,0.05654980,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-15 06:00:00
NXT3AwQ8AvE6HPjifRekNXr6z,Interest,USDC,5.77857900,USDC,5.77857900,$5.78,-,-,"approved / USDC Interest Earned",2025-12-15 06:00:00
NXT5qU2Jd4SJxW6hZYOkYInYO,Interest,NEXO,0.05654522,NEXO,0.05654522,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-14 06:00:00
NXT27C1dUtphQIpdoHO1yEavF,Interest,USDC,5.77747100,USDC,5.77747100,$5.78,-,-,"approved / USDC Interest Earned",2025-12-14 06:00:00
NXT4KIA3L1YDKQ1C3LO0io1Lf,Interest,USDC,5.77636300,USDC,5.77636300,$5.78,-,-,"approved / USDC Interest Earned",2025-12-13 06:00:00
NXT3WK9kwbVPGp3zBr2Z2hvbB,Interest,NEXO,0.05654064,NEXO,0.05654064,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-13 06:00:00
NXT65eF2nXlH8I0LfvpyXOcQ1,Interest,NEXO,0.05653606,NEXO,0.05653606,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-12 06:00:00
NXT3S10eMT0lbvNkHoIcU0l7o,Interest,USDC,5.77525600,USDC,5.77525600,$5.77,-,-,"approved / USDC Interest Earned",2025-12-12 06:00:00
NXT2F9EuM5WSpRIyeN18y8g5Z,Interest,USDC,5.77414800,USDC,5.77414800,$5.77,-,-,"approved / USDC Interest Earned",2025-12-11 06:00:00
NXT1Fg9NqtRM0aJciysfUnmSK,Interest,NEXO,0.05653149,NEXO,0.05653149,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-11 06:00:00
NXT6Up05YLXdf6WzxvkdFtdfX,Interest,USDC,5.77304100,USDC,5.77304100,$5.77,-,-,"approved / USDC Interest Earned",2025-12-10 06:00:00
NXT2PQNVLxuAx6oqCxB7IvmRv,Interest,NEXO,0.05652691,NEXO,0.05652691,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-10 06:00:00
NXT5UI4pHcaM4cantBREqtYs7,Interest,NEXO,0.05652233,NEXO,0.05652233,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-09 06:00:00
NXT3bhA26mQBxVFVk2R9iLucP,Interest,USDC,5.77193400,USDC,5.77193400,$5.77,-,-,"approved / USDC Interest Earned",2025-12-09 06:00:00
NXT5jil6JTJNsT5umjx35IWBk,Interest,NEXO,0.05651775,NEXO,0.05651775,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-08 06:00:00
NXT52yKdmrHndIOb3ivhPvCu7,Interest,USDC,5.77082800,USDC,5.77082800,$5.77,-,-,"approved / USDC Interest Earned",2025-12-08 06:00:00
NXT6a2Y9ZZQy83Mp6e83qydKx,Interest,NEXO,0.05651318,NEXO,0.05651318,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-07 06:00:00
NXT6UEJXWV6KoQLH17dfAqNU4,Interest,USDC,5.76972100,USDC,5.76972100,$5.77,-,-,"approved / USDC Interest Earned",2025-12-07 06:00:00
NXT5b8SZc6LNTmubCxFzC9W2k,Interest,USDC,5.76861500,USDC,5.76861500,$5.77,-,-,"approved / USDC Interest Earned",2025-12-06 06:00:00
NXT1PAj3S85UrwgHY1yOhPMd8,Interest,NEXO,0.05650860,NEXO,0.05650860,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-06 06:00:00
NXT1VGOIjbN4Xd042MZOeQtnT,Withdraw Exchanged,EUR,-5319.90000000,EUR,5319.90000000,$6190.20,-,-,"approved / EUR withdrawal",2025-12-05 19:39:02
NXT4Q4H5xabq1xI4TdfbrwG1C,Exchange To Withdraw,EURX,5324.90000000,EUR,5319.90000000,$6196.27,5.00000000,EURX,"approved / EURX to EUR",2025-12-05 19:38:15
NXT3y33tr7gCJIMjuKzwhWZDa,Exchange Cashback,EURX,0.84911630,EURX,0.84911630,$0.99,-,-,"approved / 0.1 % on top of your Exchange transaction",2025-12-05 19:35:08
NXT4PHbBHu9R6VPMB7eluF4To,Exchange,USDC,-1000.00000000,EURX,849.11630000,$988.02,-,-,"approved / Exchange USD Coin to EURX",2025-12-05 19:35:07
NXT5G83UkB6icPzCEF2BJxaVr,Interest,USDC,5.95925000,USDC,5.95925000,$5.96,-,-,"approved / USDC Interest Earned",2025-12-05 06:00:00
NXT41E0X6QKbvuE9bjwmPAxXj,Interest,NEXO,0.05650402,NEXO,0.05650402,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-05 06:00:00
NXT2FsDwgiFo1wVGM7s7daHrb,Interest,EURX,0.51025703,EURX,0.51025703,$0.59,-,-,"approved / EURX Interest Earned",2025-12-05 06:00:00
NXT78NVDGDNdIuBce47QaQH5d,Interest,NEXO,0.05649945,NEXO,0.05649945,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-04 06:00:00
NXT589EErtzvo8ZxhZCGUUNq0,Interest,USDC,5.95810800,USDC,5.95810800,$5.96,-,-,"approved / USDC Interest Earned",2025-12-04 06:00:00
NXT1qhk5rxVnH6ODOzK4Tq3sm,Interest,EURX,0.51019885,EURX,0.51019885,$0.60,-,-,"approved / EURX Interest Earned",2025-12-04 06:00:00
NXT6lGuoDM7cDNUI67sa91jMp,Interest,NEXO,0.05649487,NEXO,0.05649487,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-03 06:00:00
NXT5zV585GgRNxyE4izMwPt4Q,Interest,USDC,5.95696500,USDC,5.95696500,$5.96,-,-,"approved / USDC Interest Earned",2025-12-03 06:00:00
NXT3raMiXodIm3pFWujVdKPU5,Interest,EURX,0.51014068,EURX,0.51014068,$0.59,-,-,"approved / EURX Interest Earned",2025-12-03 06:00:00
NXT3OAsQ2SQkO8OKE2H9txlyo,Interest,USDC,5.95582300,USDC,5.95582300,$5.95,-,-,"approved / USDC Interest Earned",2025-12-02 06:00:00
NXT1QIrSJa6CYmcGGw6rB0y65,Interest,NEXO,0.05649030,NEXO,0.05649030,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-02 06:00:00
NXTAQkT5bqQGIcp8tGhM0iOx,Interest,EURX,0.51008251,EURX,0.51008251,$0.59,-,-,"approved / EURX Interest Earned",2025-12-02 06:00:00
NXT5MaJEeeiah2omadxuO6sx0,Interest,NEXO,0.05648572,NEXO,0.05648572,$0.05,-,-,"approved / NEXO Interest Earned",2025-12-01 06:00:00
NXT4xE03bsW6viKs5W67PDDPB,Interest,EURX,0.51002434,EURX,0.51002434,$0.59,-,-,"approved / EURX Interest Earned",2025-12-01 06:00:00
NXT4YRg08fPDS68xn3kG4HINx,Interest,USDC,5.95468100,USDC,5.95468100,$5.95,-,-,"approved / USDC Interest Earned",2025-12-01 06:00:00
NXT6zia0HhbnctzB63wAlTW5S,Interest,EURX,0.50996619,EURX,0.50996619,$0.59,-,-,"approved / EURX Interest Earned",2025-11-30 06:00:00
NXT5jh8eRiS6na1SDf8wvIOEl,Interest,USDC,5.95353900,USDC,5.95353900,$5.95,-,-,"approved / USDC Interest Earned",2025-11-30 06:00:00
NXT3ZbG5dOjHvWYsv5K7hIjNs,Interest,NEXO,0.05648115,NEXO,0.05648115,$0.05,-,-,"approved / NEXO Interest Earned",2025-11-30 06:00:00
NXT6a6Y902r5Wg2C8JPmxLNsq,Interest,NEXO,0.05647658,NEXO,0.05647658,$0.06,-,-,"approved / NEXO Interest Earned",2025-11-29 06:00:00
NXT64OFiHcOLFnYUSkfQKoBrC,Interest,EURX,0.50990804,EURX,0.50990804,$0.59,-,-,"approved / EURX Interest Earned",2025-11-29 06:00:00
NXT4Tx9GUJY1M6UbLQSCwncXX,Interest,USDC,5.95239800,USDC,5.95239800,$5.95,-,-,"approved / USDC Interest Earned",2025-11-29 06:00:00
NXT3CIS016PBuoKy1IDy50KVf,Interest,NEXO,0.05647200,NEXO,0.05647200,$0.06,-,-,"approved / NEXO Interest Earned",2025-11-28 06:00:00
NXT2jBkV8B0eCUGX0fpuqrY4g,Interest,USDC,5.95125600,USDC,5.95125600,$5.95,-,-,"approved / USDC Interest Earned",2025-11-28 06:00:00
NXTRp4PsFlN88FK1bi5MVKNM,Interest,EURX,0.50984990,EURX,0.50984990,$0.59,-,-,"approved / EURX Interest Earned",2025-11-28 06:00:00
NXT69GHcR2MqSZcegEB6l5hyx,Interest,NEXO,0.05646743,NEXO,0.05646743,$0.06,-,-,"approved / NEXO Interest Earned",2025-11-27 06:00:00
NXT5XfcIkxsN4qhKR3Dbyc1NN,Interest,EURX,0.50979176,EURX,0.50979176,$0.59,-,-,"approved / EURX Interest Earned",2025-11-27 06:00:00
NXTD1vGvj8u2eNgdsRpmwmnk,Interest,USDC,5.95011500,USDC,5.95011500,$5.95,-,-,"approved / USDC Interest Earned",2025-11-27 06:00:00
NXT6hSGPMOVwEhzAbg9bKV26N,Interest,EURX,0.50973363,EURX,0.50973363,$0.59,-,-,"approved / EURX Interest Earned",2025-11-26 06:00:00
NXT1Wx5ZDK8yKsoUo5nq8uuCW,Interest,NEXO,0.05646286,NEXO,0.05646286,$0.05,-,-,"approved / NEXO Interest Earned",2025-11-26 06:00:00
NXTXR6KVSIT5OhE9V7o9NoN8,Interest,USDC,5.94897400,USDC,5.94897400,$5.95,-,-,"approved / USDC Interest Earned",2025-11-26 06:00:00
NXT5wpg9zQ7Mo4GomrwXFKNt4,Interest,NEXO,0.05645828,NEXO,0.05645828,$0.05,-,-,"approved / NEXO Interest Earned",2025-11-25 06:00:00
NXT1QeSEpOVywGvEZF4oDTtym,Interest,EURX,0.50967551,EURX,0.50967551,$0.59,-,-,"approved / EURX Interest Earned",2025-11-25 06:00:00
NXT15gVj5VbmRMxxN3kIkZzJd,Interest,USDC,5.94783400,USDC,5.94783400,$5.95,-,-,"approved / USDC Interest Earned",2025-11-25 06:00:00
NXT7AsEqK5Qjs3ScId38x6C8V,Interest,EURX,0.62649871,EURX,0.62649871,$0.72,-,-,"approved / EURX Interest Earned",2025-11-24 06:00:00
NXT2vNUWhq5rzmzSVBTBVfHaZ,Interest,USDC,6.73512200,USDC,6.73512200,$6.73,-,-,"approved / USDC Interest Earned",2025-11-24 06:00:00
NXT1xnxDg0hps2MD4N9b1E9cy,Interest,NEXO,0.07490583,NEXO,0.07490583,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-24 06:00:00
NXT3CWDo5wfNKMC2HID6EIopx,Interest,EURX,0.62641089,EURX,0.62641089,$0.72,-,-,"approved / EURX Interest Earned",2025-11-23 06:00:00
NXT2RyJEqEaT3wElaDmIzEJQP,Interest,USDC,6.73365900,USDC,6.73365900,$6.73,-,-,"approved / USDC Interest Earned",2025-11-23 06:00:00
NXTdb2Fs7gM8ceOpP8q0jABD,Interest,NEXO,0.07489778,NEXO,0.07489778,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-23 06:00:00
NXT632sHCejViaaGFGpyy3F8x,Interest,NEXO,0.07394205,NEXO,0.07394205,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-22 06:00:00
NXT1oUUOqEYbds0Iv4a3PStsu,Interest,NEXO,7.96463892,NEXO,7.96463892,$7.22,-,-,"approved / 7.219328 USDC",2025-11-22 06:00:00
NXToeKqSlYP435m2UIvX0YPb,Interest,NEXO,0.85525219,NEXO,0.85525219,$0.78,-,-,"approved / 0.673272108383832261 EURX",2025-11-22 06:00:00
NXT6JBMHYqN0F8TdtZ3yNXipS,Interest,NEXO,0.07302671,NEXO,0.07302671,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-21 06:00:00
NXT3N1yezOzySpMggrDDDV866,Interest,NEXO,7.60012092,NEXO,7.60012092,$6.99,-,-,"approved / 6.986428 USDC",2025-11-21 06:00:00
NXT1Izu7VFxXpIYpc3sDUrJ61,Interest,NEXO,0.84484303,NEXO,0.84484303,$0.78,-,-,"approved / 0.673272108383832261 EURX",2025-11-21 06:00:00
NXT3k4iBSMdMJY0XFcxMpF14p,Exchange,USDT,-1001.00000000,USDC,1000.09991000,$999.96,-,-,"approved / Exchange Tether to USD Coin",2025-11-20 10:43:14
NXT5rSy33OIE6iCvcesw8wDz4,Top up Crypto,USDT,1001.00000000,USDT,1001.00000000,$1000.16,-,-,"approved / 0x6bacedbea6668beec7e2a2b4f03e93fb093c6bdd0cafd005acb38bed9bca5bc2",2025-11-20 09:30:18
NXT3QimVN8P68oZk6lkRBZ37l,Interest,NEXO,7.32625654,NEXO,7.32625654,$6.99,-,-,"approved / 6.986428 USDC",2025-11-20 06:00:00
NXT2nu6g4gn1jc1idTV2Eobqm,Interest,NEXO,0.07214412,NEXO,0.07214412,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-20 06:00:00
NXT1yPMeXDHHBaWrGF00lih1w,Interest,NEXO,0.81486723,NEXO,0.81486723,$0.78,-,-,"approved / 0.673272108383832261 EURX",2025-11-20 06:00:00
NXT5ZsdAP7YJX4NGdnhoW8YC3,Interest,NEXO,0.07128518,NEXO,0.07128518,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-19 06:00:00
NXT3s47QL2dn0f17t5kALa6EO,Interest,NEXO,7.12622914,NEXO,7.12622914,$6.99,-,-,"approved / 6.986428 USDC",2025-11-19 06:00:00
NXT1ZKF1K628ICk03FoVqjcmr,Interest,NEXO,0.79557176,NEXO,0.79557176,$0.78,-,-,"approved / 0.673272108383832261 EURX",2025-11-19 06:00:00
NXT5cIiUflD8UdC6GH7bUV8fL,Interest,NEXO,0.07040448,NEXO,0.07040448,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-18 06:00:00
NXT4Vl3BddYURRXJudngYT9cw,Interest,NEXO,0.81723625,NEXO,0.81723625,$0.78,-,-,"approved / 0.673272108383832261 EURX",2025-11-18 06:00:00
NXT3HDA5eHxYfPqV4tQDUD8iI,Interest,NEXO,7.30803014,NEXO,7.30803014,$6.99,-,-,"approved / 6.986428 USDC",2025-11-18 06:00:00
NXT5U0Ot3QzzZOG3wGdNM0bee,Exchange Cashback,EURX,4.46361550,EURX,4.46361550,$5.18,-,-,"approved / 0.1 % on top of your Exchange transaction",2025-11-17 12:42:14
NXT7SdCF8aNK9WwGS6DG9kCUI,Exchange,USDC,-5234.00000000,EURX,4463.61549568,$5179.94,-,-,"approved / Exchange USD Coin to EURX",2025-11-17 12:42:13
NXT4MlfHc7Njkeft03vgm815C,Interest,NEXO,8.31202556,NEXO,8.31202556,$8.20,-,-,"approved / 8.205304 USDC",2025-11-17 06:00:00
NXT18U5bUqcF5mGwxNzDybltU,Interest,NEXO,0.06950380,NEXO,0.06950380,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-17 06:00:00
NXT6Wfn1aVTCQu2xJYADZuamn,Interest,NEXO,0.06861569,NEXO,0.06861569,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-16 06:00:00
NXTpqczK0LbMteZ3Cc0tr90c,Interest,NEXO,8.19599828,NEXO,8.19599828,$8.21,-,-,"approved / 8.205304 USDC",2025-11-16 06:00:00
NXT4VNFri2uqVcfx9ysovrtpb,Interest,NEXO,0.06772912,NEXO,0.06772912,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-15 06:00:00
NXTMtP8ezjgHfwwHi4XLUWxB,Interest,NEXO,8.18248004,NEXO,8.18248004,$8.20,-,-,"approved / 8.205304 USDC",2025-11-15 06:00:00
NXT4vYVV6FCmHPcWcdISoG8W3,Interest,NEXO,7.76333793,NEXO,7.76333793,$8.20,-,-,"approved / 8.205304 USDC",2025-11-14 06:00:00
NXT13TIftiIa8H3j43CDs46B9,Interest,NEXO,0.06688769,NEXO,0.06688769,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-14 06:00:00
NXT5gE7TrUXn3V2dGyBjPZThB,Interest,NEXO,0.06607410,NEXO,0.06607410,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-13 06:00:00
NXT4Xtfdy6RxnSWx42rvSLc8c,Interest,NEXO,7.50508212,NEXO,7.50508212,$8.08,-,-,"approved / 8.076071 USDC",2025-11-13 06:00:00
NXT2Y3m8Iw2kgjv0oJY7X9EZA,Exchange,USDT,-555.00000000,USDC,554.94450500,$554.82,-,-,"approved / Exchange Tether to USD Coin",2025-11-12 15:17:14
NXT5l9vZcl7zeH3GWj47Vnjf3,Top up Crypto,USDT,555.00000000,USDT,555.00000000,$554.88,-,-,"approved / 0x1d124f28dd71436042baa947dc70ee0af14544c25cd36ddc3ae89dbeea66bc01",2025-11-12 14:44:13
NXT7MICjkAeMpJwAWMpPJUtpF,Interest,NEXO,0.06526569,NEXO,0.06526569,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-12 06:00:00
NXT6611LWwpQz3eUij0md4tue,Interest,NEXO,7.45763631,NEXO,7.45763631,$8.07,-,-,"approved / 8.076071 USDC",2025-11-12 06:00:00
NXT4W7AFYRql5u0x2V1yji2vb,Interest,NEXO,0.06447159,NEXO,0.06447159,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-11 06:00:00
NXTlLnRAyBKUF99RVgfsv9pW,Interest,NEXO,7.32520575,NEXO,7.32520575,$8.08,-,-,"approved / 8.076071 USDC",2025-11-11 06:00:00
NXT7Zb5Ki7pIjHX5ptxMKxHVB,Interest,NEXO,7.33403818,NEXO,7.33403818,$8.07,-,-,"approved / 8.076071 USDC",2025-11-10 06:00:00
NXT4Rr5YkOfx645qyRdCggCW0,Interest,NEXO,0.06367664,NEXO,0.06367664,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-10 06:00:00
NXT5h0cmBcI5z5mF5MwrMU3Yj,Interest,NEXO,0.06297675,NEXO,0.06297675,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-09 06:00:00
NXTVBciBo6Ew5mTlJ0GRHEJ4,Interest,NEXO,6.45002109,NEXO,6.45002109,$6.99,-,-,"approved / 6.986302 USDC",2025-11-09 06:00:00
NXT3wW6AVAb5dbMTceZt68pKP,Exchange,USDT,-4681.00000000,USDC,4679.59612100,$4678.99,-,-,"approved / Exchange Tether to USD Coin",2025-11-08 20:45:50
NXT3PgU54B20gOYPACOILnVwL,Top up Crypto,USDT,4681.00000000,USDT,4681.00000000,$4680.37,-,-,"approved / 0xdd16e032f7f6f69e0f6c2485959cc35ce622cbf1c384f4a473c46c00053d16f0",2025-11-08 20:41:09
NXT5N3FlrTE9v7Q3IYXMaR0lZ,Interest,NEXO,6.30537339,NEXO,6.30537339,$6.99,-,-,"approved / 6.986302 USDC",2025-11-08 06:00:00
NXT4UXUWSJwQ3g4nBbfCsbaxS,Interest,NEXO,0.06229249,NEXO,0.06229249,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-08 06:00:00
NXT74TQfvmcXqeaYj1o3kmJ2Q,Interest,NEXO,6.43728644,NEXO,6.43728644,$6.99,-,-,"approved / 6.986302 USDC",2025-11-07 06:00:00
NXT3Z0VbutxPZD1XGVzg4u1TI,Interest,NEXO,0.06159412,NEXO,0.06159412,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-07 06:00:00
NXT6OJODOBF4DnoPruf3mlxsn,Interest,NEXO,0.06089547,NEXO,0.06089547,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-06 06:00:00
NXT1LvnbF8VIHCziWEzJSW5vU,Interest,NEXO,6.44060456,NEXO,6.44060456,$6.99,-,-,"approved / 6.986302 USDC",2025-11-06 06:00:00
NXT3XygrgbwsR01Gcy3eNJV1i,Withdraw Exchanged,EUR,-5836.49000000,EUR,5836.49000000,$6702.66,-,-,"approved / EUR withdrawal",2025-11-05 13:30:28
NXT4jhm42n9YQNvmgg7kd5nn5,Exchange To Withdraw,EURX,5841.49000000,EUR,5836.49000000,$6708.69,5.00000000,EURX,"approved / EURX to EUR",2025-11-05 13:30:09
NXT7CE9n3N6VQxhJ6j6JfvtkD,Interest,NEXO,0.42119619,NEXO,0.42119619,$0.45,-,-,"approved / 0.387588035825595414 EURX",2025-11-05 06:00:00
NXT3VlAUh62iAA7nlasBKJlWA,Interest,NEXO,0.06013344,NEXO,0.06013344,$0.06,-,-,"approved / NEXO Interest Earned",2025-11-05 06:00:00
NXT1O2lLGA8XiJdnjOB91SC0q,Interest,NEXO,6.60993853,NEXO,6.60993853,$6.98,-,-,"approved / 6.986302 USDC",2025-11-05 06:00:00
NXT7T5LEdC6MpmFqVyT3Ub4t7,Exchange Cashback,EURX,3.26931468,EURX,3.26931468,$3.76,-,-,"approved / 0.1 % on top of your Exchange transaction",2025-11-04 14:02:13
NXT7TCxIblxIxprHwAKUzEUEu,Exchange,USDT,-3801.33376400,EURX,3269.31467585,$3758.05,-,-,"approved / Exchange Tether to EURX",2025-11-04 14:02:13
NXT5wH6icKxYqysB1jeJrSsk9,Top up Crypto,USDT,3801.33376400,USDT,3801.33376413,$3799.83,-,-,"approved / 0x118bd1f13f137a2066fc89506db5d6dadc54ca26bc0e941536dc45bd641e72cc",2025-11-04 13:56:06
NXT5B5vvWQjT9omrdzUm9gQzi,Interest,NEXO,6.37422674,NEXO,6.37422674,$6.99,-,-,"approved / 6.986302 USDC",2025-11-04 06:00:00
NXT4OMcOTYFl9SnuoJaEvu2Ua,Interest,NEXO,0.40699781,NEXO,0.40699781,$0.45,-,-,"approved / 0.387095399469971082 EURX",2025-11-04 06:00:00
NXTjcez1c5bjFtMuqxzVsKfk,Interest,NEXO,0.05939835,NEXO,0.05939835,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-04 06:00:00
NXT7a9QCjP8rQlPutbIs8ug8e,Interest,NEXO,0.05868539,NEXO,0.05868539,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-03 06:00:00
NXT68CwK2QHXnxNV02TRaeCRv,Interest,NEXO,0.39509625,NEXO,0.39509625,$0.45,-,-,"approved / 0.387095399469971082 EURX",2025-11-03 06:00:00
NXT2pCPFod4ufa8jZYbBirdHB,Interest,NEXO,6.18086885,NEXO,6.18086885,$6.99,-,-,"approved / 6.986302 USDC",2025-11-03 06:00:00
NXT7DYCMzynlqYsf2VWco0ohI,Interest,NEXO,0.39306255,NEXO,0.39306255,$0.45,-,-,"approved / 0.387095399469971082 EURX",2025-11-02 06:00:00
NXT5U4cZpIwYYNbrwvf6hcxBP,Interest,NEXO,0.05797678,NEXO,0.05797678,$0.07,-,-,"approved / NEXO Interest Earned",2025-11-02 06:00:00
NXT4cTdWikOMFDXzHIP31EQ8W,Interest,NEXO,6.14315588,NEXO,6.14315588,$6.99,-,-,"approved / 6.986302 USDC",2025-11-02 06:00:00
NXT5i6rmlaDmZzTyDhxU4mi2e,Interest,NEXO,0.27866738,NEXO,0.27866738,$0.31,-,-,"approved / 0.266872344558251467 EURX",2025-11-01 06:00:00
